,model_name,MSE,R2
118,RandomForestRegressor_max_depth12_n160,1.516825716452947,0.9802225170013905
119,RandomForestRegressor_max_depth14_n160,1.439236669183156,0.9814139544932305
120,RandomForestRegressor_max_depth16_n160,1.4959561985443344,0.9804984242362071
121,RandomForestRegressor_max_depth18_n160,1.4774323247862424,0.9808126306120896
122,RandomForestRegressor_max_depth20_n160,1.3928079811077836,0.9819045193771334
123,RandomForestRegressor_max_depth22_n160,1.502255295376561,0.9805211536657775
124,RandomForestRegressor_max_depth24_n160,1.3623964238903563,0.9823513727032953
125,RandomForestRegressor_max_depth26_n160,1.3188530261857714,0.9828723707316417
126,RandomForestRegressor_max_depth28_n160,1.2730617859127966,0.9835198736175844
127,RandomForestRegressor_max_depth2_n180,19.38256761846838,0.6261378306860947
128,RandomForestRegressor_max_depth4_n180,7.21277886166619,0.8957682625409573
129,RandomForestRegressor_max_depth6_n180,3.9289677041215785,0.9466048674562925
130,RandomForestRegressor_max_depth8_n180,2.450752876444352,0.9676736816617217
131,RandomForestRegressor_max_depth10_n180,1.8444487824607525,0.9758742771752407
132,RandomForestRegressor_max_depth12_n180,1.596201849536203,0.9791586952059228
133,RandomForestRegressor_max_depth14_n180,1.3325670081272676,0.9827593920148302
134,RandomForestRegressor_max_depth16_n180,1.4111656236822065,0.9815953220297426
135,RandomForestRegressor_max_depth18_n180,1.455416859852251,0.9810603036995771
136,RandomForestRegressor_max_depth20_n180,1.4725354046202674,0.9809926217126321
137,RandomForestRegressor_max_depth22_n180,1.4166447287471458,0.9815514685126194
138,RandomForestRegressor_max_depth24_n180,1.426994266944809,0.9814048441445307
139,RandomForestRegressor_max_depth26_n180,1.5224363581466844,0.9802437265942288
140,RandomForestRegressor_max_depth28_n180,1.421499502269069,0.9815504245516041
141,AdaBoostRegressor_n20,9.212061404840606,0.8471739072025563
142,AdaBoostRegressor_n40,8.40163813454834,0.867345949886046
143,AdaBoostRegressor_n60,7.652385142422128,0.8825652748711352
144,AdaBoostRegressor_n80,8.14673778711285,0.871983270801198
145,AdaBoostRegressor_n100,8.437627827057703,0.8633505129626088
146,AdaBoostRegressor_n120,8.130832999668133,0.8721541092715441
147,AdaBoostRegressor_n140,8.14056197363232,0.8707925187119485
148,AdaBoostRegressor_n160,8.073427699855758,0.8719425370080596
149,AdaBoostRegressor_n180,7.7097143202880805,0.8773764890804256
